PM2.5,PM10,SO2,NO2,O3,TEMP,PRES,DEWP,RAIN,WSPM,CO
22,170,2,14,85,15.1,1012.9,-9.8,0,7.1,300
26,137,2,13,86,15.3,1013.3,-12.1,0,7.6,200
31,109,2,13,88,15.8,1013.4,-10.8,0,7.2,300
26,74,2,13,92,15.9,1013.6,-9.2,0,6.7,300
19,66,3,14,98,16,1013.4,-9.1,0,5.8,300
23,62,2,15,97,15.9,1013.5,-9.2,0,6.1,300
29,66,2,14,93,15.9,1014,-9.2,0,4.7,300
23,55,2,16,87,14.5,1014.8,-8.9,0,6.6,300
19,48,2,15,79,13,1015.9,-8.3,0,4.4,300
15,43,2,16,70,11.3,1017.5,-9.7,0,3.8,300
20,35,2,16,69,10.3,1019.3,-10.5,0,4.5,300
15,31,2,14,74,9.3,1020.6,-11.4,0,3.8,300
27,38,2,16,74,8.2,1021.9,-11.2,0,3.8,300
29,32,2,15,73,7.6,1022.6,-10.7,0,2.9,300
20,23,2,15,73,7.2,1023.3,-12.1,0,3.2,300
19,22,2,13,73,6.4,1023.7,-11.3,0,2.1,300
20,20,2,12,74,6,1024,-12.1,0,3.7,300
14,26,2,19,64,5.1,1024.4,-11.1,0,1.9,200
17,17,2,11,72,4.9,1025.3,-11.3,0,2.6,200
14,27,2,12,69,4.7,1025.9,-12.3,0,2.9,200
18,23,2,14,65,4.3,1026.8,-11.4,0,1.8,200
17,24,2,13,67,4.2,1027.8,-11.9,0,3,200
22,24,2,16,66,5,1028.8,-12.5,0,3.2,200
14,19,2,14,70,5.1,1029.1,-13.4,0,3.9,200
20,20,2,12,73,5.8,1029.2,-13.8,0,3.5,200
15,22,2,10,77,7.3,1028.8,-12.5,0,2.4,200
12,18,2,10,81,7.8,1027.7,-13.2,0,3.3,200
3,6,2,11,86,8.9,1026.6,-13.5,0,2.2,200
18,18,2,11,90,10.3,1025.3,-14.5,0,2.4,200
20,20,2,10,97,11.2,1024.5,-13.8,0,2.1,200
15,20,2,11,96,11.7,1023.7,-14.1,0,1.7,300
28,28,3,17,93,11.3,1023.5,-13.7,0,2.6,300
37,39,2,32,81,10.1,1023.8,-13.9,0,2.2,300
24,44,2,36,76,9.3,1024.1,-13.2,0,2.6,400
33,55,2,39,70,9,1025.3,-11.6,0,3.4,400
34,60,2,33,73,8.5,1026.1,-9.9,0,3.3,400
35,62,3,39,64,7.7,1026.8,-8.8,0,2,400
42,64,4,39,60,7.5,1027.2,-8.2,0,2.5,400
45,65,6,40,59,6.5,1027.7,-7.5,0,2,400
51,76,6,68,30,5,1028.3,-7.5,0,1.7,500
52,68,7,74,17,5.2,1028.7,-11,0,2.7,500
16,16,2,20,64,4.8,1029.1,-12.7,0,2.3,200
8,10,2,17,66,4,1029.3,-12.5,0,1.7,200
13,13,2,20,61,3.1,1029.2,-12.4,0,1.5,200
10,11,2,21,58,1.7,1029.6,-10.8,0,1.2,200
7,22,2,39,43,4.3,1030.3,-11.4,0,1,300
14,25,2,34,50,6.6,1030.6,-12.6,0,1.3,400
18,18,2,32,55,7.7,1030.2,-12.7,0,1.4,400
19,19,2,23,68,8.8,1029.8,-15.7,0,1.7,300
16,16,3,12,85,9.7,1028.9,-15,0,3.3,200
11,11,5,13,86,10.6,1027.8,-15.9,0,2.5,300
13,13,5,14,89,11.5,1026.7,-16,0,1.8,300
30,30,2,16,91,12.6,1025.3,-16.1,0,1.5,300
29,29,2,24,87,12.6,1023.9,-14.3,0,3,300
30,34,2,27,86,12.4,1023,-15.3,0,3,300
33,34,2,27,93,12.3,1022.6,-14.5,0,4.1,300
18,34,2,28,92,11.6,1022.3,-12.7,0,4.2,300
31,50,2,31,86,10.9,1022.6,-11.2,0,4.4,400
36,66,3,33,86,10.4,1023.4,-10.4,0,4,400
46,74,8,39,87,9.9,1024,-8.3,0,3.4,600
63,67,13,42,86,9.7,1023.9,-8.4,0,5.1,700
67,74,10,47,75,9,1023.9,-6.8,0,3.9,700
75,88,13,51,64,8.7,1023.5,-6.3,0,4,700
76,89,13,60,54,8.4,1023,-5.5,0,3.8,700
74,91,15,54,54,7.7,1022.9,-5.1,0,1.7,700
89,101,16,54,51,7.5,1022.4,-4.3,0,2.9,700
96,101,14,57,40,6.7,1021.8,-4.1,0,1.5,700
100,100,12,57,39,4.5,1021.6,-3.8,0,1.1,700
100,102,9,80,17,3.4,1022.1,-4.1,0,1.3,800
91,133,7,97,4,4.2,1022.4,-3.1,0,0.8,1000
95,152,9,98,6,6.6,1022.4,-2.8,0,0.5,1200
105,148,15,93,18,8.6,1022.3,-2.4,0,1.1,1200
116,125,36,66,47,10.6,1022.1,-3.9,0,3.2,1000
97,97,42,46,73,10.9,1021.5,-5.6,0,3.9,900
72,72,27,32,93,12.6,1020.1,-5.9,0,3.7,700
75,85,21,27,108,14,1019,-2.9,0,3.6,600
90,112,23,29,112,13.6,1018,-1.2,0,4,700
95,116,16,28,112,12.9,1017.4,-0.1,0,3.7,700
106,106,14,28,106,12.2,1016.9,0.6,0,3.3,700
110,110,15,33,98,11.6,1016.6,1.2,0,3,800
126,126,16,40,94,11.3,1016.5,1,0,2.3,900
128,128,17,47,86,10.8,1016.6,1.1,0,2.7,900
136,126.3,15,60,58,9.8,1017.6,1.7,0,2.6,900
148,148,15,65,43,9.3,1018,1.4,0,1.6,1000
143,143,16,75,27,8.9,1018,1.3,0,1.4,1000
143,143,18,71,26,8.3,1018.1,1.4,0,1,1000
145,145,18,71,23,7.4,1018.1,1,0,1.3,1000
122,122,23,73,16,6.6,1017.7,0.7,0,1.3,900
127,129,18,87,4,5.4,1017.5,0.6,0,0.9,1100
135,135,15,83,3,4.7,1017.3,0.1,0,0.8,1300
137,137,17,87,3,3.9,1016.9,0.6,0,0.5,1500
121,121,14,83,3,3.2,1016.8,0.8,0,0.9,1400
143,153,14,84,4,3,1016.9,0.2,0,0.9,1600
141,155,17,82,4,4.3,1017.2,0.4,0,0.8,1600
141,152,27,80,6,7.2,1017.4,0.4,0,0.8,1400
144,156,39,88,12,9.4,1017.4,0.5,0,1,1500
149,157,44,85,24,11.5,1017.5,0.9,0,1.1,1500
165,170,40,89,36,12.5,1017,1.5,0,1.6,1500
195,195,34,89,55,14.2,1016.1,1.8,0,2,1400
195,195,29,83,81,15.7,1015.3,2.1,0,2.6,1300
200,200,28,59,123,16.8,1014.4,2,0,2.8,1200
196,196,29,40,149,17.3,1013.6,2.1,0,4.7,1200
180,180,25,42,140,17.8,1013.4,2.5,0,3,1100
147,147,20,42,131,17.7,1013.5,1.2,0,3.9,900
168,168,22,54,127,16.7,1013.4,3,0,3.5,1100
204,204,22,66,116,15.8,1013.7,4.5,0,3.5,1200
221,221,24,66,107,15.1,1014.6,5,0,3.2,1300
237,237,26,61,108,14.8,1015,5,0,3.9,1400
242,242,24,65,92,14.2,1015.3,5.8,0,3,1400
246,246,23,66,77,13.6,1015.5,6.2,0,2.1,1400
243,243,21,72,62,13,1015.6,5.9,0,1.6,1400
248,248,18,74,51,10.1,1015.7,5.9,0,0.6,1400
251,251,11,113,11,8.9,1015.6,6,0,1.4,1600
230,230,10,126,3,7.7,1015.8,5.2,0,0.6,1500
245,245,8,125,3,8.3,1015.7,5.6,0,1.4,1500
228,228,8,105,3,6.6,1015.9,5.1,0,1,1500
213,213,8,97,3,6.5,1016.5,5.1,0,0.8,1600
207,207,8,91,4,7.1,1017.2,5.6,0,0.9,1600
205,169.7,20,94,7,9.9,1017.3,6.6,0,1.7,1600
216,216,31,92,15,11.5,1017.5,6.6,0,1.2,1600
224,224,32,83,32,13.7,1017.5,7.2,0,1.4,1400
232,232,30,80,61,15.7,1016.7,7.2,0,2.1,1400
244,244,28,76,87,17.8,1015.8,4,0,2.3,1400
195,195,20,48,119,19,1014.9,1.5,0,2.3,1000
109,109,13,37,135,20.2,1013.5,1.1,0,3,700
131,131,11,34,155,20.5,1012.8,-0.2,0,3,700
122,122,11,34,171,20.8,1012.1,0.6,0,2.9,700
115,115,12,34,170,20.2,1012.5,-0.5,0,3,700
112,112,9,43,148,19.8,1012.3,-0.3,0,2.7,700
71,71,6,77,76,17.8,1012.6,0,0,0.9,700
66,66,6,104,41,15,1013.4,1.5,0,0.7,700
95,95,6,152,5,15.2,1014.1,1.7,0,1.8,1300
111,133,8,120,24,16.6,1014.8,2.9,0,4.7,1300
66,66,10,43,84,15.9,1013.6,4.6,0,1.7,600
76,76,11,78,48,15.9,1014.2,4.3,0,1.2,700
119,166,13,112,17,14.2,1015,7.5,0,2.5,1000
216,221,17,85,27,12.7,1014.6,8.2,0.1,3.8,1900
274,206,32,88,24,12.2,1014.7,7.7,0.1,3.4,3000
258,258,39,85,21,11.7,1014.6,8.2,0.1,1.3,3700
250,250,27,87,11,11,1014.6,8.2,0,1.5,3700
244,244,26,79,14,10.4,1015.6,7.8,0,1.1,3500
244,153.3,30,73,20,10.7,1015.7,6.8,0,3.4,3400
234,234,46,64,42,11.8,1016.2,6.9,0,4.8,3300
206,127,47,48,74,13.4,1016.5,6.9,0,4,2700
176,114.1,36,38,98,14.7,1016.7,7.3,0,3,2100
168,93.3,30,36,112,16.1,1016.3,6.8,0,3.4,1900
135,135,27,31,134,17.1,1015.8,6.9,0,3,1900
147,81.6,26,37,138,17.5,1015.2,5.7,0,2.8,2100
126,55.3,18,28,147,18.2,1014.4,6.1,0,2.1,1400
95,35.9,14,26,151,18.1,1014.1,5.3,0,2.1,1100
101,101,14,29,143,17.5,1014.1,5.4,0,3.2,1100
102,102,12,33,130,16.2,1014.3,7.4,0.1,3.3,1000
108,70.6,15,43,110,15.8,1014.7,7,0,4.5,1300
138,92,19,50,100,14.8,1015.6,6.9,0,3.7,1800
145,103.9,25,52,85,13.4,1016.3,6.9,0,4.9,2000
131,72.5,19,44,72,12.5,1017,6.5,0,4.1,1600
88,88,8,38,64,11.2,1019.7,8.8,4.6,0.6,1300
27,27,3,29,63,9.3,1020.2,7.2,11.7,1.9,700
15,15,2,26,60,8.3,1018.7,6.6,2.8,0.9,500
11,11,2,30,53,8.3,1018.5,6.8,0,0.7,500
12,12,2,29,51,8.3,1018.3,6.4,0,0.6,400
26,26,2,20,52,8.9,1017.3,-0.7,0,4,300
16,38,3,12,58,8.6,1017,-3,0,4.5,300
10,10,3,12,63,8.1,1017.1,-4.7,0,4.4,300
11,13,2,13,68,7.9,1017.8,-5.9,0,5.6,300
11,12,2,16,68,7.5,1018.6,-5.9,0,4.3,300
5,18,2,18,66,7.7,1019.4,-5.7,0,3.9,300
14,22,2,19,65,8.3,1020.1,-6.3,0,4.8,300
9,28,2,17,70,9.2,1020.4,-7.1,0,5.2,300
24,41,2,13,77,10.4,1020.5,-6.5,0,4.2,300
14,42,2,9,82,10.5,1020.9,-5.1,0,4.6,300
18,54,2,13,81,9.6,1021.5,-1.8,0,7,300
19,30,2,13,85,8.4,1021.7,-2.9,0,8.4,300
19,30,2,13,85,8.2,1022.4,-3.3,0,6.5,300
18,21,2,13,89,7.2,1023.2,-4.3,0,7.7,300
19,19,2,14,88,6.8,1023.9,-4.9,0,6.3,300
19,19,2,14,89,6.6,1024.5,-4.2,0,5,300
12,15,2,16,85,6.4,1025.1,-4.1,0,5.1,300
12,12,2,16,84,6,1025.7,-4.8,0,3.9,400
13,13,2,15,85,5.6,1026.5,-4,0,3.5,300
12,21,2,12,87,4.7,1026.8,-2.4,0,3.4,300
16,16,2,12,88,5.4,1026.3,-3.4,0,2.8,300
10,10,2,16,82,5.6,1026.3,-3.8,0,3.3,300
13,13,2,20,77,6,1026.1,-3.4,0,3.2,300
15,15,2,14,84,5,1026.1,-1.7,0,3.8,300
17,17,2,9,92,4.9,1025.9,-0.9,0.1,3.8,300
19,19,2,9,95,5.3,1025.4,-1.8,0.1,4.8,300
13,13,2,10,94,6.2,1025,-2.9,0,3.1,300
17,17,2,16,88,6.3,1024.8,-2.8,0,2.2,300
17,17,2,24,81,7.2,1024.8,-3.7,0,2.4,400
17,17,2,30,78,7.9,1024.9,-3.6,0,4,400
19,26,2,25,88,9.6,1024.4,-3,0,2.7,400
18,30,2,20,99,11.2,1024,-3,0,2.5,400
16,24,2,18,108,12.8,1023.1,-1.9,0,2.2,400
10,29,2,19,113,14.3,1021.9,-1.4,0,1.8,400
20,22,3,20,117,15.7,1020.6,-1.9,0,1.4,400
55,55,5,23,121,16.9,1019.2,-2.2,0,1.6,500
36,36,4,23,132,18,1017.5,-1.8,0,2.1,400
46,46,4,26,134,18.5,1016.1,-2.5,0,2.4,400
35,35,4,34,126,18.1,1015.2,-2.3,0,3.1,500
37,48,4,42,129,16.7,1014.6,-1,0,3.8,500
42,50,3,47,121,15.3,1014,0.7,0,3,500
46,58,3,55,99,14.7,1014,1.9,0,4,600
48,55,3,51,97,14,1013.5,1.9,0,3.8,600
56,56,3,61,82,13.3,1012.4,2.2,0,3.8,600
59,62,4,64,70,12.1,1011.5,2.5,0,2.3,700
64,65,4,64,62,11.1,1010.6,2.9,0,2,700
66,69,3,76,41,8.6,1010,3.4,0,0.4,800
70,74,2,106,10,7,1009.3,3.8,0,0,900
67,70,2,106,3,6.3,1008.6,4,0,0.3,800
71,72,2,104,3,5.5,1007.9,3.7,0,0.3,1000
72,76,2,88,3,5.2,1007.4,3.5,0,0.7,1000
78,112,2,105,3,4.5,1007.6,3.2,0,0.5,1300
83,137,2,104,4,8.3,1007.7,2.3,0,0.9,1400
70,70,4,88,16,11.2,1007.4,1.4,0,1.1,900
66,77,6,81,31,13.8,1006.8,0.1,0,1.4,800
46,73,8,81,39,17.3,1006.2,0.9,0,1,900
64,64,10,70,56,20.1,1005.2,-3.6,0,1.5,800
88,88,9,59,77,22.3,1003.9,-4,0,2.4,700
65,65,6,67,87,24,1002.8,-3.4,0,2.4,700
73,95,6,76,98,24.8,1001.3,-3.6,0,2.8,700
40,57,5,54,130,25.3,1000,-2.3,0,3.3,500
56,61,5,42,145,25.5,999.2,-0.6,0,4.1,500
65,78,6,44,145,24.9,998.9,1.1,0,4.8,500
66,75,6,56,114,23.7,998.5,0.1,0,4.8,600
67,73,6,59,108,22.4,998.7,0.2,0,2.9,600
48,70,7,69,83,21.3,998.9,-0.7,0,3,600
58,86,10,70,83,21.2,999,0.4,0,4,700
54,74,10,75,70,20.3,998.8,0.1,0,2.2,600
58,84,13,73,61,18.5,998.3,1,0,1.8,600
62,110,15,83,44,15.4,998.2,3.5,0,0.5,700
70,103,16,96,27,13.3,997.8,4.2,0,0.8,700
67,116,13,112,8,12,997.1,4.2,0,0.6,800
76,120,8,114,3,10.8,996.7,4.5,0,0.5,1100
71,140,6,113,4,10,996,5.2,0,0.4,1200
84,167,6,114,4,9.6,995.8,5.4,0,1,1400
95,164,7,113,4,9.3,996.2,4.9,0,1.2,1400
100,165,9,109,4,10.9,996.5,5.4,0,0.8,1500
117,183,17,110,5,13.8,996.3,4.9,0,0.9,1500
125,187,23,129,9,16.4,995.7,4.7,0,0.6,1500
148,223,25,148,12,18.1,995.7,5,0,1,1500
245,245,29,156,16,19.3,995.2,5,0,1.3,1500
212,212,30,151,25,20.8,994.1,4.8,0,1.4,1500
146,195,30,136,51,21.9,993,4.9,0,2,1400
155,187,34,91,99,23.2,992.2,5.6,0,1.3,1200
NA,NA,27,78,128,23.3,991,5.7,0,2.1,1200
84,155,34,72,124,23.9,990.3,6.2,0,1.5,1200
142,171,32,78,122,24.7,990.3,6,0,1.5,1200
138,315,26,88,101,23.5,993.6,2.9,0,4.8,1200
276,NA,2,20,83,20.6,996,0.4,0,6,400
111,NA,2,19,86,18.8,998.5,-0.1,0,5.8,300
78,489,2,18,88,18.9,1000.1,-2.1,0,2.9,300
74,434,2,20,79,17.8,1000.9,-3.1,0,3.4,300
78,634,2,16,82,17.6,1001.6,-7,0,4,300
78,455,2,12,87,16.6,1003.2,-9.4,0,3.6,300
78,481,2,10,91,16.1,1004.5,-15.6,0,3.3,200
58,350,2,9,91,14.9,1006.2,-16.5,0,4.4,200
36,235,2,8,90,14.1,1006.9,-16,0,4.4,200
30,151,2,8,81,13.3,1007.4,-15.6,0,2.5,200
20,83,2,5,82,12.9,1007.8,-14.9,0,3.9,200
15,66,2,8,81,12.3,1009.3,-14.5,0,4.5,200
10,50,2,18,70,12.7,1010.2,-14.2,0,4.2,300
8,50,2,16,71,13.4,1010.5,-14.5,0,5.5,300
7,36,2,12,77,14,1010.4,-14.1,0,6.8,300
7,51,2,14,78,15.3,1010.4,-14,0,5,300
12,51,5,16,82,16.4,1010.1,-12.1,0,4.1,300
6,42,2,15,88,17.1,1009.5,-13.7,0,5.6,300
14,32,2,15,92,18.7,1008,-14.9,0,6,300
3,36,2,16,96,20.2,1007.4,-12.4,0,5.4,200
225,225,5,17,99,20.8,1006,-13.3,0,5.4,300
NA,28,2,17,99,20.9,1005,-13.2,0,4.8,300
NA,42,2,25,96,19.7,1004.9,-11.6,0,5.5,300
NA,88,2,29,94,18.5,1004.5,-9.5,0,5.2,300
NA,97,4,36,88,17.9,1004.7,-8.3,0,6.3,400
NA,121,5,46,76,17.4,1005.3,-6.5,0,4.8,400
NA,130,7,42,75,17,1006,-6.2,0,6.6,400
NA,141,12,50,61,16.5,1006.2,-5.3,0,7.6,500
NA,152,15,51,54,15.9,1006.3,-5.2,0,5.7,500
NA,154,15,44,54,15.3,1006.2,-4.6,0,4.9,500
NA,150,16,48,50,15.1,1005.6,-5.4,0,5.2,500
NA,152,15,46,50,14.3,1005.3,-5.5,0,3.2,500
NA,152,15,41,50,14,1004.6,-5.2,0,3.5,500
NA,148,15,45,46,12.9,1004.7,-4.7,0,2.2,500
NA,143,16,45,40,11.3,1004.5,-3.6,0,1.5,500
NA,145,14,55,27,9.1,1005,-2.2,0,0.6,500
NA,150,13,70,12,10.9,1005.1,0,0,0.9,700
NA,161,18,72,16,14,1005.4,-1.2,0,1.5,800
56,183,15,84,14,15.4,1006,-0.4,0,1.4,1000
72,201,14,95,16,17.3,1006.1,-0.9,0,0.9,1000
81,201,14,106,20,19,1005.6,-2.1,0,1.6,1100
78,206,22,103,35,20.4,1004.5,-1.4,0,2.6,1100
72,178,22,75,67,22,1003.8,-2,0,3.8,800
74,172,24,52,96,23.8,1003.1,-1.2,0,5.1,700
69,166,26,44,106,25,1002.3,-3.5,0,4,700
72,141,25,42,118,25.2,1002,-3.3,0,4.4,700
60,156,27,51,111,24.3,1002.1,-2.3,0,4,700
64,206,21,50,110,23.6,1002.1,-4.6,0,3.9,700
72,245,25,56,110,22.3,1003.2,0.1,0,2.8,700
106,247,51,76,87,21,1003.9,3.2,0,1.4,1200
120,243,53,96,58,19.3,1004.9,4.2,0,0.9,1500
112,227,42,94,60,18.5,1005.2,5.3,0,1,1300
146,222,35,90,56,17.5,1005.4,5.1,0,0.7,1200
253,253,32,146,6,16.7,1005.6,5.3,0,0.8,1500
120,241,28,142,4,16,1005.7,5.9,0,0.7,1300
122,250,30,136,4,17.3,1005.7,4.6,0,1.2,1200
120,246,26,129,3,16.4,1005.7,5,0,0.6,1000
116,241,24,126,3,14.8,1005.5,6.4,0,0,1000
115,232,20,119,3,13.7,1005.8,7,0,0.7,1000
116,265,20,121,3,14.1,1006.2,6.7,0,0.9,1300
139,298,23,121,3,14.4,1006.6,7,0,1,1400
148,319,29,117,5,15.2,1007,7.5,0,0.4,1600
153,332,36,120,7,16.7,1007,7.6,0,1,1800
160,324,48,111,27,18.1,1007.3,8.1,0,1.7,1700
171,345,46,116,38,20.2,1007.2,8.8,0,1.1,1700
181,333,43,112,59,20.8,1007,9.1,0,1.7,1600
165,345,43,93,91,21.1,1006.6,8.7,0,2.2,1600
168,315,42,82,113,21.2,1005.9,9.4,0,2.1,1700
172,324,41,88,112,21,1005.6,10.2,0,1.9,1900
175,323,44,92,101,21.1,1005.2,10,0,2.2,2500
175,313,55,88,108,21,1005.2,9.6,0,2.1,3100
158,284,50,73,122,20.5,1006,9.7,0,0.3,2800
162,280,47,79,103,19.4,1006.5,10.7,0,0.5,2900
109,153,27,54,91,17.8,1007.7,7.2,0.3,0.6,1500
36,56,12,45,84,18.1,1007.9,6.9,0,1.7,600
70,116,11,81,46,17.6,1008.3,9.5,0,2.1,1000
113,143,10,75,48,16.4,1008.3,10.9,0,1.9,1200
104,104,10,58,60,16.3,1008.4,10.2,0,2,1100
99,99,9,52,58,15.6,1008.2,10.1,0,1.8,1000
104,104,9,51,54,15.3,1008.7,10.3,0,2.2,1000
91,91,8,62,38,14.9,1008.2,10.3,0,1,1000
81,81,8,72,23,15.2,1008.2,8.2,0,1.4,900
71,71,9,61,29,15.6,1008.8,6.8,0,1.6,700
72,74,9,71,20,14.2,1009.5,6.8,0,1,700
81,81,9,55,31,15.9,1010.3,1.2,0,2,600
94,129,4,39,49,17,1010.9,-4.3,0,2.6,400
88,122,2,21,71,17.5,1011.6,-5.1,0,3.8,300
70,139,2,13,84,18,1012.1,-9.1,0,4,300
28,109,2,11,97,18.6,1012,-12.5,0,4.5,300
24,85,2,12,103,19.4,1011.4,-10.8,0,3.4,200
10,87,2,14,105,19.9,1011,-11.5,0,2.5,200
39,83,2,15,107,20.4,1010.4,-11.1,0,2.8,300
25,73,2,15,109,21.1,1009.6,-10.6,0,1.1,300
18,86,2,15,111,21.3,1008.7,-10.4,0,2.4,300
22,67,2,15,109,21.3,1008.8,-11.6,0,1.6,300
35,244,12,50,87,18.5,1009,5.3,0,4.3,1000
94,209,18,69,62,16.3,1009.6,6.4,0,4.4,1400
106,174,14,54,60,15.1,1010.9,6.6,0,3.7,1100
96,147,14,55,51,14.4,1011.5,6.7,0,3,1000
87,127,15,53,45,13.6,1011.9,6.2,0,2.4,900
81,127,14,59,32,12.7,1012.5,6.5,0,1.8,1000
75,121,11,61,24,11.4,1012.6,6.1,0,0.9,1000
79,111,9,63,18,9.4,1012.5,6.3,0,0,1000
87,115,8,76,4,8.3,1012.3,5.9,0,0.7,1100
79,113,6,75,2,7.7,1012,5.8,0,0.8,1000
87,118,6,73,2,7.2,1011.6,5.5,0,1.2,1100
81,125,6,74,2,6.5,1011.7,5.1,0,0.5,1200
88,145,7,78,4,6.7,1012.1,5.6,0,1,1300
87,167,8,78,2,9.6,1012.9,7.4,0,0.5,1300
102,152,12,82,5,12.7,1013.3,5.8,0,1.8,1300
103,122,11,74,24,15.9,1013,4,0,1.1,900
70,80,8,69,37,18.7,1012.7,-0.7,0,0.9,800
40,40,4,53,61,19.9,1011.9,-7.5,0,1.6,500
38,43,2,38,83,20.5,1010.7,-8.9,0,2.7,400
36,62,4,42,90,21,1009.4,-8.5,0,4,400
28,60,3,31,115,21.7,1008.7,-8,0,3.5,300
51,58,3,27,127,22.1,1007.7,-6.7,0,5,300
38,67,3,27,127,21.8,1007,-5.2,0,4.9,400
59,110,5,32,134,21.1,1006.5,-2.1,0,4.9,500
66,99,6,38,135,20.2,1006.5,-2.8,0,4.9,500
73,143,19,40,136,19,1006.6,-0.4,0,4.7,700
113,219,36,48,142,18.4,1007.4,6.6,0,6.1,1200
135,202,31,56,115,17.8,1008.1,6.3,0,4.1,1600
106,142,23,54,95,17.5,1007.8,5.4,0,4.7,1200
86,135,22,48,86,17.2,1007.3,4.8,0,5.7,900
79,121,21,52,74,16.5,1007.1,3.9,0,5.2,800
65,113,19,44,76,16.3,1006.8,3.4,0,4.5,600
52,96,19,39,81,15.5,1006.3,3,0,3.5,500
57,105,19,43,72,14.3,1005.9,3.4,0,1.5,600
55,103,17,53,55,12.8,1005.7,3.7,0,1.4,600
55,101,14,57,45,10.5,1005.1,4,0,0.7,700
60,109,11,86,13,11,1005.4,4.7,0,1.8,800
68,118,14,85,14,12.6,1006,5.7,0,0.9,900
95,137,16,82,25,15.5,1006,5.1,0,1.3,1000
113,159,17,84,45,18.4,1005.9,5.6,0,0.9,1100
124,181,16,104,42,20.9,1005.5,4.9,0,1.6,1300
122,203,18,117,48,22.8,1004.6,3.3,0,2,1300
119,151,17,84,91,24.7,1003.4,1.5,0,2.4,1000
78,85,10,38,122,26.5,1002.3,-0.6,0,2.5,600
49,49,5,26,119,25.7,1002,-2.9,0,2.2,400
42,148,2,33,90,24.5,1002.8,-0.7,0,3.9,400
35,168,2,31,86,25.3,1002.5,-3.2,0,1.4,400
74,302,2,25,94,25.3,1003.8,-5.1,0,4.6,200
29,173,2,19,98,24.2,1005.2,-8.2,0,3.4,200
26,99,2,21,97,22.6,1007,-6.3,0,3.7,200
22,71,2,28,83,21.1,1008.6,-5.7,0,1.6,300
13,51,2,32,75,19.9,1010.3,-5.2,0,1.8,300
23,44,2,40,66,15.7,1011.6,-3.3,0,0.6,300
18,48,2,51,52,13.6,1012.6,-0.8,0,1.1,400
22,84,2,75,25,12,1013.6,-0.2,0,0.3,400
24,65,3,100,5,13.6,1013.8,0.9,0,1.5,600
61,143,15,87,33,13.3,1013.9,3.1,0,1.1,1300
60,98,11,87,40,10.5,1014,3.1,0,0.1,1200
64,94,10,114,17,9.1,1014.4,4.1,0,1.5,1200
66,87,8,84,26,8.5,1014.4,3.9,0,0.2,1100
64,99,7,100,7,8.2,1014.9,4.4,0,0.5,1200
67,112,14,104,8,12.6,1015.2,5,0,1.4,1100
81,146,13,112,8,15.8,1015.6,6,0,1.5,1500
104,189,13,130,2,18.4,1015.5,5.2,0,1.2,1700
71,85,7,61,60,21.4,1015.3,-3.2,0,2.9,700
54,78,6,34,92,23.1,1014.4,-2.5,0,4.5,500
37,60,5,23,112,23.9,1013.3,-3.5,0,4.3,400
33,68,4,21,123,24.8,1012.4,-1.9,0,3.3,300
41,89,6,22,136,24.8,1011.4,-0.4,0,5.1,400
42,91,6,25,141,25.2,1010.6,-0.1,0,5,400
44,85,6,26,147,25,1010.1,0.5,0,5.2,400
39,92,6,29,142,24.8,1009.6,-0.4,0,4.7,400
39,147,10,33,142,23.7,1009.2,0.1,0,6.2,400
44,138,13,40,136,22.8,1009.1,1.2,0,5.7,500
42,106,17,44,115,22.4,1009.7,1.4,0,5.4,400
41,98,16,45,103,21.9,1010,2,0,5.3,400
43,95,14,43,100,21.3,1009.8,2.5,0,3.8,400
48,261,15,44,91,20.5,1009.3,3.2,0,2.3,400
51,118,18,45,84,19.8,1009.1,3.5,0,1.7,500
53,103,21,46,76,18.4,1008.8,4.2,0,1.5,500
55,100,25,47,68,16.4,1008.4,5,0,0.7,500
60,106,26,47,59,13.9,1007.9,5.8,0,0.5,600
72,104,28,61,39,13,1007.5,5.9,0,0.5,600
75,106,22,66,26,12.6,1007.7,6.4,0,1,600
66,115,18,93,3,13.4,1008.8,5.5,0,1.4,800
80,132,18,90,2,14.2,1008.6,5.8,0,1.3,900
102,149,23,92,2,15.3,1010,6,0,1.9,1200
108,162,32,86,22,18.6,1010.2,5.8,0,2.3,1200
99,133,30,76,42,19.7,1009.8,6.1,0,0.8,1000
NA,NA,23,68,48,20.5,1009.9,4.9,0,1.2,900
NA,NA,41,71,67,21.4,1009.7,5.7,0,1.4,1200
62,154,16,76,69,24.2,1009.2,4.5,0,1.7,800
74,157,14,80,81,26.6,1009.3,3.1,0,1.2,800
65,202,12,68,105,27.2,1009,3,0,2,700
50,94,9,46,132,28.5,1009.1,0.2,0,2.3,500
23,74,2,17,101,27.8,1010,-13.1,0,4.5,200
11,98,2,15,96,26.8,1010.8,-13.8,0,4,100
13,55,2,22,87,25.3,1012.1,-17.1,0,3.3,200
14,58,2,28,79,23.8,1013.8,-16,0,2,200
8,56,2,29,78,20.8,1015.7,-12,0,1.3,200
15,100,2,61,41,16.6,1017.2,-10.2,0,0.9,300
18,75,2,55,44,16.3,1017.8,-7.4,0,1.4,300
26,242,6,65,39,15.2,1018.7,3.3,0,1,500
67,247,14,59,44,13,1018.8,5.4,0,0.5,900
66,185,12,76,26,11.5,1018.8,6,0,0.6,1000
